ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated
TSLA,2022-12-21,139.335,141.26,135.89,137.57,144110254.0,137.57,137.57,2022-12-21
TSLA,2022-12-20,146.05,148.47,137.66,137.8,156301399.0,137.8,137.8,2022-12-21
TSLA,2022-12-19,154.0,155.25,145.82,149.87,139012446.0,149.87,149.87,2022-12-20
TSLA,2022-12-16,159.635,160.99,150.04,150.23,138838601.0,150.23,150.23,2022-12-19
TSLA,2022-12-15,153.44,160.93,153.28,157.67,121525813.0,157.67,157.67,2022-12-15
TSLA,2022-12-14,159.25,161.62,155.31,156.8,139850919.0,156.8,156.8,2022-12-14
TSLA,2022-12-13,174.87,175.05,156.91,160.95,175100200.0,160.95,160.95,2022-12-13
TSLA,2022-12-12,176.1,177.37,167.52,167.82,108688697.0,167.82,167.82,2022-12-12
TSLA,2022-12-09,173.84,182.5,173.36,179.05,104577696.0,179.05,179.05,2022-12-09
TSLA,2022-12-08,172.2,175.2,169.06,173.44,97228338.0,173.44,173.44,2022-12-08
TSLA,2022-12-07,175.03,179.38,172.218,174.04,83687638.0,174.04,174.04,2022-12-07
TSLA,2022-12-06,181.215,183.65,175.33,179.82,91830106.0,179.82,179.82,2022-12-07
TSLA,2022-12-05,189.44,191.27,180.55,182.45,92455666.0,182.45,182.45,2022-12-05
TSLA,2022-12-02,191.78,196.25,191.11,194.86,73374264.0,194.86,194.86,2022-12-02
TSLA,2022-12-01,197.08,198.92,191.8,194.7,79652353.0,194.7,194.7,2022-12-01
TSLA,2022-11-30,182.43,194.76,180.63,194.7,107582745.0,194.7,194.7,2022-11-30
TSLA,2022-11-29,184.99,186.38,178.75,180.83,83096458.0,180.83,180.83,2022-11-29
TSLA,2022-11-28,179.96,188.5,179.0,182.92,92657265.0,182.92,182.92,2022-11-28
TSLA,2022-11-25,185.06,185.2,180.63,182.86,50638664.0,182.86,182.86,2022-11-25
TSLA,2022-11-23,173.57,183.62,172.5,183.2,108854888.0,183.2,183.2,2022-11-23
TSLA,2022-11-22,168.63,170.92,166.185,169.91,78111108.0,169.91,169.91,2022-11-22
TSLA,2022-11-21,175.85,176.77,167.54,167.87,92307571.0,167.87,167.87,2022-11-21
TSLA,2022-11-18,185.05,185.19,176.55,180.19,75587031.0,180.19,180.19,2022-11-18
TSLA,2022-11-17,183.96,186.16,180.9,183.17,64250573.0,183.17,183.17,2022-11-17
TSLA,2022-11-16,191.51,192.57,185.66,186.92,66150478.0,186.92,186.92,2022-11-16
TSLA,2022-11-15,195.88,200.824,192.06,194.42,91075356.0,194.42,194.42,2022-11-15
TSLA,2022-11-14,192.77,195.73,186.34,190.95,91840628.0,190.95,190.95,2022-11-14
TSLA,2022-11-11,186.0,196.52,182.59,195.97,113856276.0,195.97,195.97,2022-11-11
TSLA,2022-11-10,189.9,191.0,180.03,190.72,131961232.0,190.72,190.72,2022-11-10
TSLA,2022-11-09,190.775,195.89,177.12,177.59,125379012.0,177.59,177.59,2022-11-09
TSLA,2022-11-08,194.02,195.2,186.75,191.3,128269803.0,191.3,191.3,2022-11-08
TSLA,2022-11-07,208.65,208.9,196.66,197.08,93088317.0,197.08,197.08,2022-11-07
