tweet_date,tesla_mention,twitter_mention
2022-12-21,False,False
2022-12-20,True,True
2022-12-19,False,True
2022-12-18,True,True
2022-12-17,False,True
2022-12-16,True,True
2022-12-15,True,True
2022-12-14,True,True
2022-12-13,True,True
2022-12-12,False,True
2022-12-11,False,True
2022-12-10,False,True
2022-12-09,True,True
2022-12-08,True,True
2022-12-07,False,False
2022-12-06,False,True
2022-12-05,False,True
2022-12-04,True,True
2022-12-03,False,True
2022-12-02,True,True
2022-12-01,False,True
2022-11-30,False,True
2022-11-29,True,True
2022-11-28,True,True
2022-11-27,True,True
2022-11-26,False,True
2022-11-25,False,True
2022-11-24,True,True
2022-11-23,True,True
2022-11-22,True,True
2022-11-21,True,True
2022-11-20,True,True
2022-11-19,True,True
2022-11-18,False,True
2022-11-17,True,True
2022-11-16,True,True
2022-11-15,False,True
2022-11-14,True,True
2022-11-13,True,True
2022-11-12,True,True
2022-11-11,True,True
2022-11-10,True,True
2022-11-09,False,True
2022-11-08,False,True
2022-11-07,True,True
2022-11-06,False,True
2022-11-05,True,True
2022-11-04,False,True
2022-11-03,False,True
2022-11-02,True,True
2022-11-01,True,True
2022-10-31,False,True
2022-10-30,True,True
2022-10-29,False,True
2022-10-28,True,True
2022-10-27,False,True
2022-10-26,False,True
2022-10-25,False,True
2022-10-24,True,False
2022-10-23,True,False
2022-10-22,False,False
2022-10-21,True,False
2022-10-20,True,False
2022-10-19,True,False
2022-10-18,True,False
2022-10-17,False,False
2022-10-16,False,False
2022-10-15,False,True
2022-10-14,True,False
2022-10-13,False,False
2022-10-12,True,True
2022-10-11,False,False
2022-10-10,True,True
2022-10-09,True,False
2022-10-08,False,True
2022-10-07,True,True
2022-10-06,True,True
2022-10-05,False,True
2022-10-04,False,True
2022-10-03,True,False
2022-10-02,True,False
2022-10-01,True,False
2022-09-30,True,False
2022-09-29,False,False
2022-09-28,True,False
2022-09-27,False,False
2022-09-26,False,False
2022-09-25,False,False
2022-09-24,False,False
2022-09-23,False,False
2022-09-22,False,True
2022-09-21,True,True
2022-09-20,False,False
2022-09-19,False,False
2022-09-18,False,False
2022-09-17,False,False
2022-09-16,False,False
2022-09-15,True,False
2022-09-14,False,False
2022-09-13,True,True
2022-09-12,True,False
2022-09-11,False,False
2022-09-10,False,False
2022-09-09,True,False
2022-09-08,True,False
2022-09-07,True,False
2022-09-06,True,True
2022-09-05,True,False
2022-09-04,False,False
2022-09-03,False,False
2022-09-01,False,False
2022-08-31,False,False
2022-08-30,True,False
2022-08-29,False,False
2022-08-28,True,False
2022-08-27,False,False
2022-08-26,False,False
2022-08-25,False,False
2022-08-24,False,False
2022-08-23,False,False
2022-08-22,False,False
2022-08-21,True,False
2022-08-20,False,False
2022-08-19,True,False
2022-08-18,False,True
2022-08-17,False,True
2022-08-16,True,False
2022-08-15,True,False
2022-08-14,True,False
2022-08-13,False,True
2022-08-12,False,False
2022-08-11,True,False
2022-08-10,True,True
2022-08-09,True,False
2022-08-08,False,False
2022-08-07,False,True
2022-08-06,True,True
2022-08-05,False,False
2022-08-04,True,False
2022-08-02,True,False
2022-08-01,False,True
2022-07-31,False,False
2022-07-30,True,True
2022-07-29,True,False
2022-07-28,False,False
2022-07-27,False,False
2022-07-26,False,False
2022-07-25,True,False
2022-07-24,False,True
2022-07-23,True,False
2022-07-22,False,False
2022-07-21,True,True
2022-07-20,False,False
2022-07-19,True,False
2022-07-18,True,True
2022-07-16,False,False
2022-07-15,True,False
2022-07-14,False,False
2022-07-13,True,True
2022-07-12,True,False
2022-07-11,True,False
2022-07-08,False,False
2022-07-07,True,False
2022-07-06,True,True
2022-07-05,False,False
2022-07-04,False,False
2022-07-02,False,False
2022-06-21,False,True
2022-06-20,False,False
2022-06-19,False,False
2022-06-18,True,True
2022-06-17,False,False
2022-06-16,False,True
2022-06-15,False,False
